C0,C1,C2,C3,C4,T1,T2,T3,T5,T10,S1,S2,HS01,HS02,HS03,HS04,HS05,HS06,HS07,HS08,HS09,HS10,HS11,HS12,HS13,HS14,HS15,HS16,HS17,HS18,HS19,HS20,HS21,HS22,HS23,HS24,HS25,HS26,HS27,HS28,HS29,HS30,HR01,HR02,HR03,HR04,HR05,HR06,HR07,HR08,HR09,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HT01,HT02,HT03,HT04,HT05,HT06,HT07,HT08,HT09,HT10,HT11,HT12,HT13,HT14,HT15,HT16,HT17,HT18,HT20,HT21,HT22,HT23,HT24,HT25,HT26,HT27,HT28,HT29,HT30,HT31,HH01,HH02,HH03,HH04,HH05,HH06,HH07,HH08,HH09,HH10,HH11,HH12,HH13,HH14,HH15,HH16,HH17,HH18,HH19,HH20,HH21,HH22,HH23,HH24,HH25,HH26,HH27,HH28,HH29,HH30,HH31,HH32,HH33,HH34,HH35,HH36,HH37,HH38,HH39,HH40,HH41,HH42,HH43,HH44,HH45,HH46,HH47,HH48,HH49,HH50,HH51,HH52,HH53,HH54,HH55,HH56,P1,P2,P3,P4,P5,P6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,DB
CR,CRI,Costa Rica,LATIN-AMERICA,Central America,1984,1980,0,1981,1980,CRI_1984_IPUMS,IPUMS,0.053643962,0.110705359,0.165052336,0.199851586,0.170110139,0.112169973,0.073875176,0.046223246,0.028940791,0.018278394,0.021149039,0.275757694,0.369961725,0.300636619,0.440907671,0.163529136,4.684404781,0.628007343,2.638533042,2.045871739,0.207057491,1.195125762,1.064853148,0.913392439,0.579167318,0.365294485,0.263650211,0.166536479,0.097914388,0.038470551,1,0.75552648,2.34908608,0.472445712,0.107346508,0,1,0.608396543,0.208855177,0.136002822,0.046745458,0,1,0.754495977,0.978939896,0.201845717,0.06471841,0,1,0.825385968,1.854211452,0.246335744,0.074066836,0,1,0.844219952,2.643324532,0.381816095,0.130639421,0,0.053643962,0.649976566,0.189325887,0.047824559,0.016989533,0.031264646,0.007889392,0.003085455,0,1,4.463195529,6.384734399,5.405879951,7.510344828,3.204247345,2.576732673,4.651898734,NA,0.053643962,0.649976566,0.142009061,0.078581472,0.075788939,0,1,4.463195529,6.393564356,5.103379722,5.552434939,NA,0.824675832,0.175324168,0.039166469,0.096992659,0.161851764,0.207459152,0.178451338,0.118470282,0.078285579,0.048614729,0.030191807,0.018872839,0.021643381,0.121742036,0.175206059,0.180106928,0.164067721,0.130875473,0.082535086,0.053129873,0.034974382,0.02305636,0.01548229,0.018823791,0.039166469,0.695121951,0.119512195,0.071536822,0.074662562,0,0.121742036,0.437625306,0.247828024,0.111717532,0.081087102,0,4.815155103,4.069391847,2.113568553,1.727444865,2.70158655,2.341946982,0.188302155,0.295277345,0.906346199,0.04611272,2.407909069,2.072399198,0.393511722,0.843729116,0.107388113,0.107150813,1.430357566,0.6930274,1.271228984,1.648919581,2696205,5153959,3.5196,75.1,76.9,73.3,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIONAL
CR,CRI,Costa Rica,LATIN-AMERICA,Central America,2000,2000,0,1996,1990,CRI_2000_IPUMS,IPUMS,0.079396139,0.148897173,0.204738257,0.222163052,0.167832861,0.090913594,0.043778716,0.021028645,0.010576244,0.005696806,0.004978513,0.353635429,0.389995913,0.176972519,0.311157071,0.171820625,3.952481207,0.392670935,2.430777614,1.521703593,0.220008174,0.822779794,0.855090592,0.65829071,0.607118531,0.44016496,0.25787955,0.165702751,0.098802432,0.046651888,1,0.707493777,1.840935267,0.338439818,0.065612345,0,1,0.569741329,0.278549447,0.11403144,0.037677784,0,1,0.720541979,1.062605855,0.171001694,0.045850472,0,1,0.818273036,1.904844194,0.228050616,0.048832153,0,1,0.860094451,2.70690673,0.354412633,0.078586187,0,0.079396139,0.686985275,0.154234832,0.027740969,0.010885853,0.029796773,0.008124141,0.002836019,0,1,3.913091289,5.533483218,5.040178571,6.906712173,2.832086451,2.487804878,4.15720524,NA,0.079396139,0.686985275,0.121341969,0.062689636,0.049586982,0,1,3.913091289,5.416411513,4.476096405,4.981268731,NA,0.772375444,0.227624556,0.060560874,0.128353135,0.198454311,0.23685603,0.185675117,0.099716196,0.04622637,0.022127086,0.011288021,0.005868488,0.004874373,0.143307943,0.218607182,0.226060936,0.172306855,0.107290533,0.061044614,0.035473341,0.017301415,0.008161045,0.005114255,0.005331882,0.060560874,0.739124858,0.100726346,0.054275498,0.045312425,0,0.143307943,0.510065288,0.191294886,0.091240479,0.064091404,0,4.107252233,3.427312296,1.589734956,1.29085963,2.517517277,2.136452666,0.202879728,0.2781284,0.886286017,0.100816104,1.886911347,1.684929271,0.273461927,0.558922742,0.060592942,0.082644178,1.353712701,0.648966268,1.163804576,1.487486398,3979189,5153959,2.412,77.6,80,75.3,0.71,0.809,11.51434326,7.142045964,0.956,12062.54245,0.689120759,12.09510795,7.058455962,7254.611454,0.720898757,10.93357857,7.230629448,16808.00725,NATIONAL
CR,CRI,Costa Rica,LATIN-AMERICA,Central America,2011,2010,0,2011,2010,CRI_2011_IPUMS,IPUMS,0.112146385,0.194645263,0.233363269,0.227682982,0.129658734,0.059250112,0.022373148,0.011023799,0.004793444,0.002447238,0.002615626,0.428008532,0.357341715,0.102503368,0.229445442,0.19533004,3.460024697,0.272956893,2.406342613,1.053682084,0.250078581,0.547900763,0.634328693,0.638179165,0.497474181,0.443646161,0.336652447,0.195431073,0.108812304,0.05759991,1,0.636326897,1.445419847,0.332712169,0.045565784,0,1,0.551877271,0.307745545,0.1062345,0.034142684,0,1,0.687896864,1.097460073,0.17736194,0.037281124,0,1,0.799230845,1.90277093,0.259688394,0.038309831,0,1,0.815497835,2.60008658,0.522077922,0.062337662,0,0.112146385,0.657644814,0.16077683,0.016782667,0.00844185,0.03298159,0.008497979,0.002727885,0,1,3.460321254,5.125471303,4.461538462,6.519946809,2.660653506,2.307793923,3.987654321,NA,0.112146385,0.657644814,0.132263134,0.061495285,0.036450382,0,1,3.460321254,5.012052283,4.047462578,4.400677549,NA,0.699629546,0.300370454,0.08921265,0.170771625,0.230942028,0.253229145,0.145917238,0.064759399,0.023763298,0.011729217,0.004829678,0.002262407,0.002583316,0.165564151,0.25025227,0.239002878,0.168180289,0.091789065,0.04641776,0.01913518,0.009380723,0.004709048,0.002877752,0.002690885,0.08921265,0.716926335,0.108595543,0.052821591,0.032443881,0,0.165564151,0.519564974,0.187390216,0.081698247,0.045782412,0,3.612101471,3.105804089,1.096770053,0.953320626,2.515331419,2.152483462,0.23758484,0.27917928,0.843942044,0.152745076,1.45930074,1.413088164,0.268039087,0.483350151,0.040819601,0.056620697,1.361263097,0.663377808,1.154068321,1.489105655,4679927,5153959,1.9023,79.3,81.7,77,0.782,0.809,14.31015968,8.351329803,0.971,16811.46478,0.76835104,14.61832047,8.37195015,12291.9398,0.790920464,14.0135603,8.328960419,21294.42428,NATIONAL
CR,CRI,Costa Rica,LATIN-AMERICA,Central America,2018,2020,1,2016,2010,CRI_2018_MICS,MICS,0.093404005,0.180800942,0.242991755,0.242756184,0.130624264,0.059363958,0.028857479,0.011896349,0.00565371,0.001766784,0.00188457,0.423792697,0.373380448,0.10942285,0.370318021,0.196466431,3.205989239,0.223646367,2.362475157,0.843514081,0.319050271,0.449651411,0.495342385,0.536581882,0.492316918,0.388823885,0.381800604,0.248808122,0.133027524,0.079636508,1,0.596895098,1.264237238,0.315140486,0.029716417,0,1,0.537954677,0.339211491,0.104296829,0.018537002,0,1,0.684997244,1.099263009,0.193107238,0.022632509,0,1,0.776486902,1.918258081,0.27433098,0.030924037,0,1,0.7822672,2.499602808,0.648414828,0.069715164,0,0.093404005,0.662190813,0.193875147,0.008598351,0.006360424,0.029446408,0.004004711,0.002120141,0,1,3.196538599,4.944827253,4.247156874,6.498806416,2.581556656,2.605816836,4.355969446,NA,0.093404005,0.662190813,0.172084806,0.051236749,0.021083628,0,1,3.196538599,4.739740234,3.726457745,4.160746701,NA,0.603733033,0.396266967,0.080910482,0.157804132,0.242540168,0.269127774,0.145179801,0.05910482,0.026587605,0.010902831,0.004781943,0.001147666,0.001912777,0.113427345,0.217657879,0.243715512,0.200490497,0.107296137,0.059779277,0.032495402,0.013488657,0.007050889,0.002759044,0.001839362,0.080910482,0.727046672,0.128921194,0.042081102,0.021040551,0,0.113427345,0.558246475,0.241263029,0.065910484,0.021152667,0,3.325051328,3.024592043,0.843040765,0.844235203,2.482010563,2.180356841,0.316516557,0.322910513,0.823972554,0.250930956,1.234299724,1.309848576,0.240270576,0.42920863,0.026508475,0.034603881,1.342001725,0.753393279,1.140008838,1.426963562,5040738,5153959,1.7089,79.5,82.1,77,0.811,0.809,15.8667202,8.72317028,0.981,19562.35999,0.800909089,16.36289978,8.834739685,14166.87697,0.816735131,15.38696003,8.596690178,24936.0301,NATIONAL
CU,CUB,Cuba,LATIN-AMERICA,Caribbean,2002,2000,0,2001,2000,CUB_2002_IPUMS,IPUMS,0.139468969,0.226947447,0.271465549,0.206205128,0.092011103,0.038052963,0.014605123,0.006113772,0.002646959,0.001171221,0.001311767,0.498412996,0.298216231,0.063901805,0.183401459,0.256731591,3.123540366,0.202949134,2.34060271,0.782937656,0.326688608,0.403403568,0.46691887,0.430657875,0.609081646,0.414553589,0.338623347,0.23916328,0.145090828,0.076047364,1,0.577177592,0.979714456,0.524238414,0.042409904,0,1,0.513392166,0.336068535,0.134644166,0.015895133,0,1,0.705626025,0.975925447,0.288376909,0.03007162,0,1,0.769623992,1.618027945,0.564637056,0.047711008,0,1,0.714994908,1.833503055,1.350560081,0.100941955,0,0.139468969,0.543504995,0.232346775,0.010669821,0.011606798,0.050936391,0.005598435,0.005867816,0,1,2.985346407,4.614426858,4.10428101,5.981836529,2.689353874,2.583682008,4.209580838,NA,0.139468969,0.543504995,0.203546456,0.07973671,0.03374287,0,1,2.985346407,4.487197192,3.709459459,4.516140229,NA,0.592157506,0.407842494,0.151189699,0.200399533,0.269230009,0.220633319,0.093435392,0.039498408,0.01491327,0.006052335,0.002610811,0.001068059,0.000969165,0.122451324,0.265493079,0.274711389,0.185256447,0.089943139,0.035954282,0.014157716,0.006202975,0.002699443,0.001321004,0.001809201,0.151189699,0.568365672,0.174054075,0.074091655,0.032298898,0,0.122451324,0.507409109,0.246367239,0.087932916,0.035839412,0,3.145256038,3.092010798,0.753021223,0.826374131,2.392234815,2.265636666,0.340295496,0.306932399,0.738127732,0.343489748,0.91669139,1.071219344,0.448802389,0.63376601,0.041634526,0.043535696,1.363990585,0.841450807,1.02824423,1.42418586,11170054,11256373,1.608,76.6,79,74.4,0.706,0.764,12.97049046,10.17168999,0.92,4548.737109,0.67005993,13.03073978,10.02295017,2685.387728,0.728365317,12.91026974,10.32371044,6405.238267,NATIONAL
CU,CUB,Cuba,LATIN-AMERICA,Caribbean,2012,2010,0,2011,2010,CUB_2012_IPUMS,IPUMS,0.185051856,0.259143616,0.257049799,0.18099891,0.073724424,0.028615509,0.009795638,0.003159093,0.00148159,0.000440804,0.00053876,0.516193415,0.254723334,0.044031395,0.142036758,0.303591326,2.857008167,0.158689344,2.258139563,0.598868604,0.391752072,0.309836046,0.362928406,0.399478382,0.366614015,0.522585069,0.355422498,0.273873808,0.172244058,0.094025885,1,0.508907909,0.860583575,0.46077459,0.026742093,0,1,0.498913249,0.345492345,0.145341145,0.01025326,0,1,0.655885295,1.002572286,0.320249607,0.021292812,0,1,0.735759708,1.615410635,0.611351644,0.037478014,0,1,0.668991862,1.784753363,1.472346786,0.073907989,0,0.185051856,0.52541356,0.209063415,0.006685523,0.007542642,0.058222826,0.003636631,0.004383548,0,1,2.858517828,4.416539768,3.948717949,5.693181818,2.585068349,2.424242424,4.117318436,NA,0.185051856,0.52541356,0.195153608,0.072132633,0.022248344,0,1,2.858517828,4.223428285,3.460702767,4.324160704,NA,0.551763827,0.448236173,0.2074919,0.234632284,0.248635214,0.19200213,0.073920376,0.029159824,0.009320492,0.002840531,0.001509032,0.000155342,0.000332875,0.157428907,0.289316251,0.267407873,0.167454312,0.073483214,0.027945475,0.010380528,0.003551233,0.001447811,0.000792198,0.000792198,0.2074919,0.54351782,0.159713284,0.067329457,0.021947539,0,0.157428907,0.503127817,0.238779468,0.078045183,0.022618625,0,2.842528072,2.874832682,0.559407039,0.647444478,2.283121033,2.227388204,0.410012871,0.369273636,0.659269451,0.323817849,0.773733967,0.967492556,0.382295504,0.557379736,0.027229151,0.026142541,1.347299277,0.815909526,0.935821757,1.411478679,11309292,11256373,1.6813,77.8,80.1,75.7,0.773,0.764,14.70438957,11.4994297,0.958,7617.849884,0.751918628,15.41133976,11.48556042,5013.744905,0.785144708,14.03927994,11.51377964,10232.64713,NATIONAL
CU,CUB,Cuba,LATIN-AMERICA,Caribbean,2019,2020,1,2016,2010,CUB_2019_MICS,MICS,0.146164132,0.212351663,0.235918436,0.213939495,0.110563263,0.048721377,0.019053986,0.007688451,0.002256393,0.001253552,0.002089253,0.448270099,0.324502758,0.081063012,0.386762494,0.314557914,2.71129334,0.145507491,2.180367012,0.530926328,0.497497392,0.298368324,0.29334629,0.286116627,0.302479966,0.382951174,0.491014107,0.308314217,0.225907358,0.122795277,1,0.517264189,0.79640454,0.379235146,0.018377085,0,1,0.599959492,0.289870341,0.105398398,0.004729091,0,1,0.676838635,1.013827275,0.299315948,0.010018142,0,1,0.733956967,1.641047823,0.595998962,0.028996249,0,1,0.645580223,1.940618037,1.345108278,0.068693462,0,0.146164132,0.519137556,0.272856427,0.005432057,0.007688451,0.042202908,0.001838543,0.004596356,8.36E-05,1,2.753964628,4.406219739,4.237253933,5.926834672,2.635909928,2.811784097,5.009685247,2,0.146164132,0.519137556,0.276282801,0.038776534,0.019555407,8.36E-05,1,2.753964628,4.22150645,3.207713933,4.730127551,2,0.522155918,0.477844082,0.158049738,0.198134817,0.227585079,0.222676702,0.110929319,0.048592932,0.020778796,0.008344241,0.001963351,0.001472513,0.001472513,0.133754698,0.22719508,0.244619064,0.204817219,0.110181073,0.048855483,0.01725316,0.007003758,0.002562351,0.00102494,0.002733174,0.158049738,0.551537958,0.232820681,0.03763089,0.01979712,0.000163613,0.133754698,0.48530919,0.321660403,0.039972668,0.019303041,0,2.717239039,2.704796278,0.503543449,0.560848499,2.21369559,2.143947779,0.52385155,0.468699339,0.661715283,0.359417736,0.720770898,0.879051904,0.31500139,0.44942548,0.019727759,0.016901159,1.311659941,0.773680965,0.902035649,1.370266815,11316699,11256373,1.5506,77.6,80.1,75.2,0.788,0.764,14.4114399,12.49773438,0.959,8748.733509,0.767397323,14.91845036,12.59368627,5733.584328,0.8001737,13.93010044,12.40169983,11796.09651,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2000,2000,0,1996,1990,CYP_2000_LFS,LFS,0.147690497,0.299205649,0.190644307,0.204177699,0.107972933,0.038246543,0.010885555,0.001176817,0,0,0,0.489849956,0.312150633,0.050308914,0.154457193,0.242130038,3.010713255,0.206335265,2.104944857,0.905768398,0.33920458,0.447886019,0.457882379,0.403478162,0.455322259,0.431315026,0.34670655,0.239134852,0.158302495,0.070685513,1,0.770034568,1.115096841,0.090369512,0.035212334,0,1,0.834743605,0.100579437,0.038359091,0.027149143,0,1,0.880555958,1.023690647,0.082917856,0.034395799,0,1,0.965335639,1.934249454,0.088741266,0.03748808,0,1,0.982715908,2.827435649,0.197597006,0.065315337,0,0.147690497,0.756398941,0.052368344,0.01618123,0.000882613,0.015004413,0.011179759,0.000294204,0,1,3.254345038,4.921730838,4.919470564,5.86614134,2.300903989,2.491626761,3.430160904,NA,0.147690497,0.756398941,0.022653722,0.044719035,0.028537805,0,1,3.254345038,3.652842457,4.671809569,3.974119212,NA,0.832922959,0.167077041,0.05980184,0.308209483,0.210191083,0.236376504,0.126326964,0.045293701,0.012738854,0.001061571,0,0,0,0.58041958,0.255244755,0.094405594,0.045454545,0.017482517,0.003496503,0.001748252,0.001748252,0,0,0,0.05980184,0.856334041,0.019462137,0.039278132,0.02512385,0,0.58041958,0.263986014,0.038461538,0.071678322,0.045454545,0,3.27246236,1.703949067,1.022002837,0.326309172,2.250459522,1.377639896,0.313528607,0.467206053,0.918045793,0.032159717,1.2468628,0.458208909,0.077214578,0.1540742,0.030339189,0.059506242,1.177770292,0.167643309,1.072689231,1.209996587,948238,1244193,1.6368,76.6,78.6,74.6,0.797,0.896,12.40380001,9.910283724,0.944,30130.96033,0.771678807,12.60206985,9.390947024,20441.98317,0.817458723,12.20831966,10.46908347,39644.29452,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2005,2000,0,2001,2000,CYP_2005_LFS,LFS,0.15625,0.320330969,0.203457447,0.185431442,0.091829196,0.030954492,0.00982565,0.000886525,0.001034279,0,0,0.523788416,0.277260638,0.042700946,0.132239953,0.288194444,2.910563273,0.16694747,2.151564435,0.758998838,0.351395622,0.360118985,0.398879853,0.421761482,0.441565627,0.441826478,0.357634685,0.255265481,0.160789052,0.072721629,1,0.723366439,1.014142871,0.087278409,0.085775553,0,1,0.784968666,0.115338,0.034550735,0.066515341,0,1,0.868822198,0.985320075,0.069586565,0.097238517,0,1,0.900758929,1.900444289,0.084276307,0.069197241,0,1,0.90605316,2.661483344,0.170811456,0.169498269,0,0.15625,0.718158983,0.044178487,0.03804669,0.003102837,0.013519504,0.025930851,0.000812648,0,1,3.116404581,4.837506078,4.511188481,6.144775384,2.234630676,2.531554496,3.76083212,NA,0.15625,0.718158983,0.017287234,0.040410757,0.067893026,0,1,3.116404581,3.923063712,4.36006392,3.825495353,NA,0.817643026,0.182356974,0.058171491,0.332081348,0.227739099,0.220043972,0.111487724,0.036735068,0.01154269,0.001099304,0.001099304,0,0,0.564885496,0.271374046,0.102290076,0.041221374,0.009923664,0.006870229,0.002671756,0,0.000763359,0,0,0.058171491,0.829333089,0.01758886,0.034811286,0.060095273,0,0.564885496,0.254961832,0.016030534,0.063740458,0.100381679,0,3.166115265,1.764732106,0.860941229,0.301914674,2.305174036,1.462817432,0.329135666,0.451203694,0.878553317,0.027547322,1.13279652,0.482129614,0.078342813,0.127343384,0.076422615,0.127711787,1.220672398,0.216133386,1.084501638,1.246684046,1037070,1244193,1.4798,78.1,80.3,76,0.834,0.896,13.44655037,10.71990967,0.954,35764.9257,0.812402511,13.61229038,10.35309029,24978.32592,0.85131982,13.28789997,11.11760044,46421.29354,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2010,2010,0,2006,2000,CYP_2010_LFS,LFS,0.17712294,0.333967047,0.214448669,0.168441065,0.075348542,0.021419518,0.006780735,0.002091255,0.000316857,6.34E-05,0,0.548415716,0.243789607,0.030671736,0.120215463,0.281875792,2.79748508,0.166031903,2.129590841,0.667894238,0.354618105,0.319795867,0.348098372,0.43535098,0.432610345,0.394146345,0.356604445,0.272684232,0.165317254,0.07287724,1,0.691616784,0.913980078,0.075243068,0.116645149,0,1,0.774028853,0.102673814,0.03225111,0.107457977,0,1,0.840852936,1.029707114,0.057124994,0.136967525,0,1,0.908785804,1.944371752,0.07387556,0.121822762,0,1,0.911144318,2.71971097,0.22206117,0.195943349,0,0.17712294,0.683967047,0.032953105,0.046768061,0.004245881,0.012103929,0.040811153,0.002027883,0,1,3.063924141,4.840251796,4.330900548,5.963117215,2.199888986,2.390575931,3.588401727,NA,0.17712294,0.683967047,0.01356147,0.031495564,0.093852978,0,1,3.063924141,4.271895937,4.066587947,3.55646659,NA,0.80222681,0.19777319,0.08089116,0.348718358,0.239958476,0.201868562,0.09207059,0.025473129,0.007905454,0.002635151,0.000399265,7.99E-05,0,0.54712926,0.277249002,0.116364753,0.039914031,0.011053116,0.005833589,0.002456248,0,0,0,0,0.08089116,0.797093348,0.013095904,0.027709015,0.081210573,0,0.54712926,0.249002149,0.015351551,0.046054652,0.142462389,0,3.04479626,1.794317465,0.752960167,0.322841563,2.291836093,1.471475902,0.342824341,0.402457116,0.858297977,0.015508353,1.014418824,0.506570689,0.069508748,0.098503174,0.102570712,0.173735249,1.219097966,0.183186454,1.072738127,1.288289449,1129693,1244193,1.438,79.7,82,77.4,0.857,0.896,13.84634018,11.44206047,0.963,37768.06792,0.84062428,13.77460003,11.11723042,29858.08467,0.872571646,13.94013023,11.78087044,45629.19597,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2015,2010,0,2011,2010,CYP_2015_LFS,LFS,0.212289408,0.340864568,0.196617474,0.162073919,0.065822124,0.01678203,0.003852684,0.001110095,0.000391798,0.000130599,6.53E-05,0.537482043,0.227896043,0.022332506,0.101736973,0.324800836,2.738340396,0.15886261,2.117521618,0.620818778,0.394047506,0.31519061,0.305628168,0.413267922,0.434621785,0.367522872,0.354485688,0.278897385,0.185054192,0.083671773,1,0.643537441,0.956215971,0.063254529,0.075332455,0,1,0.75156736,0.152353805,0.026321844,0.094968896,0,1,0.821940762,1.199221272,0.048746551,0.091280339,0,1,0.88165402,2.099774146,0.075296375,0.065613395,0,1,0.902740297,3.015299041,0.205307442,0.104538375,0,0.212289408,0.686496017,0.02847068,0.028209482,0.002611989,0.009794959,0.030690871,0.001436594,0,1,3.117354746,5.079180336,4.471995105,6.285495883,2.261776262,2.282451825,3.584221948,NA,0.212289408,0.686496017,0.012080449,0.02618519,0.062948936,0,1,3.117354746,3.757006602,4.652938468,3.462492149,NA,0.769965682,0.230034318,0.098015531,0.363244176,0.225107852,0.201639344,0.083692839,0.021570319,0.00474547,0.001207938,0.000517688,0.000172563,8.63E-05,0.567937701,0.271213749,0.107948443,0.038936627,0.010204082,0.001879699,0.001074114,0.000805585,0,0,0,0.098015531,0.811906816,0.012683348,0.02364107,0.053753236,0,0.567937701,0.296186896,0.010204082,0.034103115,0.091568206,0,3.019039832,1.798789575,0.704184543,0.34177877,2.314855289,1.457010805,0.39783723,0.381362627,0.829137008,0.02230276,1.064023028,0.595366622,0.062255119,0.06659973,0.063624678,0.114520463,1.248027266,0.200451032,1.066828023,1.256559773,1187286,1244193,1.3257,81,82.9,79.1,0.871,0.896,14.57015038,11.86548042,0.98,34243.04912,0.86217265,14.95707989,11.72896957,28837.49087,0.879442269,14.19696045,12.01636028,39625.02032,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2021,2020,1,2021,2020,CYP_2021_SILC,SILC,0.226112327,0.357646487,0.158764892,0.161925602,0.068319961,0.02066618,0.005348894,0.000972526,0.000243132,0,0,0.516411379,0.230245563,0.027230732,0.084609774,0.405543399,2.62427941,0.143536193,2.11743308,0.50684633,0.404638237,0.297570594,0.278076464,0.40865,0.425770588,0.337558823,0.323291176,0.266658824,0.185719823,0.100983119,1,0.648006442,0.89049833,0.041639198,0.04413544,0,1,0.740621912,0.158299652,0.026645952,0.074432485,0,1,0.795468912,1.102559837,0.047631378,0.054339873,0,1,0.941122005,2.006473047,0.039578286,0.012826661,0,1,0.919493984,2.92474877,0.110230648,0.045526597,0,0.226112327,0.689764162,0.025042548,0.022368101,0.002188184,0.007780209,0.026015074,0.000729395,0,1,3.027433305,5.001168309,4.157279811,5.011367198,2.194225703,2.014156281,3,NA,0.226112327,0.689764162,0.0269876,0.005835157,0.051300754,0,1,3.027433305,4.444800707,2.63368084,2.779149836,NA,0.761752781,0.238247219,0.119533528,0.389374798,0.172335601,0.198574668,0.085843861,0.025915128,0.006802721,0.001295756,0.000323939,0,0,0.546783626,0.262183236,0.117933723,0.05165692,0.015594542,0.004873294,0.000974659,0,0,0,0,0.119533528,0.808551992,0.027858763,0.003239391,0.040816327,0,0.546783626,0.332358674,0.024366472,0.013645224,0.082846004,0,2.833429442,1.955559669,0.578750673,0.276945082,2.25467877,1.678614587,0.4228555,0.346391803,0.820194489,0.097466025,0.948138552,0.706204052,0.034601755,0.064140162,0.030494647,0.08774943,1.226630455,0.360101609,1.028048315,1.318512978,1244193,1244193,1.3208,81.2,83.2,79.2,0.896,0.896,15.64826965,12.44017029,0.972,38188.42152,0.881957454,15.69172001,12.41040993,30616.52084,0.907058666,15.61785984,12.47198009,45734.5501,NATIONAL
CZ,CZE,Czech Republic,EUROPE,Eastern Europe,2000,2000,0,1996,1990,CZE_2000_LFS,LFS,0.218173081,0.312282247,0.195426695,0.202394778,0.054343038,0.013055144,0.002683112,0.001041208,0.000240279,0.000320372,4.00E-05,0.507708942,0.256737816,0.017380161,0.095270514,0.315005406,2.667114998,0.111951891,2.048163103,0.618951895,0.368571176,0.26019203,0.358759865,0.445707177,0.354966503,0.389541925,0.369641491,0.24003732,0.193650485,0.054618203,1,0.667067954,0.881771871,0.099977057,0.018298115,0,1,0.790820004,0.180808785,0.054392376,0.020129026,0,1,0.816656136,1.087547503,0.086441146,0.023611018,0,1,0.930784818,1.90558566,0.093958826,0.013944059,0,1,0.902153936,2.5362137,0.450522623,0.046703635,0,0.218173081,0.697168716,0.053221737,0.006527572,0.00192223,0.016379,0.005686596,0.000881022,4.00E-05,1,3.022768311,4.54234402,3.866537414,6.116077466,2.151001274,2.131290661,3.575643383,1,0.218173081,0.697168716,0.031516559,0.038084178,0.01501742,4.00E-05,1,3.022768311,3.681148858,4.222125114,3.383623316,1,0.73292459,0.26707541,0.093768839,0.341645202,0.219323724,0.256918946,0.067243931,0.01583822,0.003233408,0.001150874,0.000328821,0.000383625,5.48E-05,0.555687732,0.232416357,0.130557621,0.054423792,0.019330855,0.005501859,0.001189591,0.000743494,0,0.000148699,0,0.093768839,0.828300543,0.035677098,0.030251548,0.011892366,0,0.555687732,0.341263941,0.020223048,0.059330855,0.023494424,0,2.964674797,1.850533295,0.711378607,0.36530889,2.25329619,1.485224405,0.32840908,0.478786444,0.870417271,0.109024387,0.990959901,0.582131439,0.089670243,0.128261644,0.013627382,0.031115825,1.219193177,0.326270595,1.034103013,1.15895381,10234712,10510748,1.1553,75,78.3,71.6,0.808,0.889,13.87837982,10.98871212,0.958,24150.30243,0.788946218,13.93398952,10.33073425,17668.72878,0.823593061,13.82553005,11.73879776,30981.7071,NATIONAL
